CLOUD FEATURES,exaSIM BASIC,exaSIM ADVANCED,exaSIM ULTIMATE,exaSIM ENTERPRISE
Concurrent Simulations* ,1,1,1,customizable
Compute and memory optimized servers,x,x,x,x
User logins,Unlimited,Unlimited,Unlimited,Unlimited
Community Forum and Help Page Access,x,x,x,x
Email and In-App Technical Support,x,x,x,x
User Group Participation,x,x,x,x
Real-Time Simulation Progress,x,x,x,x
Worldwide AWS Cloud Access,x,x,x,x
Dedicated Storage*,3 TB,3 TB,3 TB,customizable
User-Customized Material Assumptions,x,x,x,x
Priority Support,,,,x
Onsite Training,,,,x
Single-Point-of-Contact Technical Success Manager,,,,Available
AWS GovCloud**,Available,Available,Available,Available